News,Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
BBC,-0.4003,Sun Aug 26 19:39:07 +0000 2018,0.876,0.124,0.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCOne: 🚨 Consider this your 30-minute warning! 🚨
#Bodyguard. Starts tonight at 9pm, @BBCOne. https://t.co/m8JzlprYRG",1
BBC,-0.7269,Sun Aug 26 19:13:06 +0000 2018,0.469,0.408,0.122,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A troubled war veteran is assigned to protect a controversial politician...

#Bodyguard | 9pm | @BBCOne |… https://t.co/SopVXMpTWg",2
BBC,0.0,Sun Aug 26 18:05:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","🕵️😂 Did you know Sherlock is Indian? 
#GoodnessGraciousMe https://t.co/quFCCTvECl",3
BBC,0.5719,Sun Aug 26 16:46:09 +0000 2018,0.619,0.0,0.381,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The perfect picnic doesn't exi- 
#NationalDogDay https://t.co/hCE7MqzF2P",4
BBC,0.0,Sun Aug 26 16:32:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","This sketch was discovered in Germany, but could it be by British artist Henry Moore? Fiona Bruce and @PhilipMould… https://t.co/gGf2OFwsVI",5
BBC,0.296,Sun Aug 26 15:05:02 +0000 2018,0.826,0.061,0.113,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😴 It’s hard to overstate the benefits of a night’s rest for human memory, and neuroscientists are just beginning to… https://t.co/GK81wfxhJ3",6
BBC,0.0,Sun Aug 26 14:07:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The boat that ROCKED 🤘https://t.co/4avyIFuoot,7
BBC,-0.6808,Sun Aug 26 12:06:05 +0000 2018,0.739,0.261,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","📖 The murderer turned author who published clues to his crimes.
👉https://t.co/ITArfoXazg https://t.co/BSXLone9P7",8
BBC,0.4404,Sun Aug 26 11:01:06 +0000 2018,0.879,0.0,0.121,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🎓 Aidan has cerebral palsy so he used eye gaze technology to complete his degree in creative writing...and got a fi… https://t.co/KMxNJIYrPv,9
BBC,0.0,Sun Aug 26 10:09:08 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",💉 Scientists believe they have found a reliable way to transform donor blood into the universal type needed for saf… https://t.co/rU3YmogzMa,10
BBC,0.5859,Sun Aug 26 09:26:05 +0000 2018,0.814,0.0,0.186,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",😍 Photographs of golden retriever puppies playing with lion and tiger cubs at a wildlife park in Beijing are meltin… https://t.co/1Qfwlhs37j,11
BBC,0.4404,Sun Aug 26 09:08:05 +0000 2018,0.861,0.0,0.139,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🥓🍳 @Libertines frontman @PeteDoherty will have his name inscribed on a wall of fame in a Margate cafe after scoffin… https://t.co/I9URg2sXjn,12
BBC,-0.5994,Sun Aug 26 08:00:14 +0000 2018,0.843,0.157,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This father and son thought they were going to die at sea. 
Then 13 year old Joe did something incredible. 
(via… https://t.co/ygLkik2sjB",13
BBC,0.0,Sun Aug 26 07:42:20 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCWorld: US Senator John McCain dies aged 81 https://t.co/Sge1AtsTtk,14
BBC,0.0,Sun Aug 26 07:12:02 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🦎🎨 How do chameleons change colour?  https://t.co/4fbUTZLbO7,15
BBC,0.7003,Sat Aug 25 21:01:07 +0000 2018,0.756,0.0,0.244,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Three friends decide to turn their fantasy vacation into reality after one of their group gets engaged. 🎬🍿

Zindagi… https://t.co/73RISRIQPx",16
BBC,0.4199,Sat Aug 25 18:07:04 +0000 2018,0.715,0.0,0.285,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",❤️🦔 All animals need someone like Joan! https://t.co/45ldsfXqNC,17
BBC,0.4019,Sat Aug 25 17:18:16 +0000 2018,0.863,0.0,0.137,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @bbcstories: From slave plantations to #nottinghillcarnival2018 - How steel pans brought harmony to Europe’s biggest Caribbean event. ht…,18
BBC,0.6369,Sat Aug 25 17:18:08 +0000 2018,0.682,0.0,0.318,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @BBCOne: Love. Sex. It's complicated. This is #Wanderlust. https://t.co/rnZLvWi0JT,19
BBC,0.0,Sat Aug 25 17:00:19 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Is identity different online? 

@BBCThree spoke to four of the most followed young Asian influencers in the country… https://t.co/D15TpRXt2X",20
BBC,-0.4003,Sun Aug 26 19:39:07 +0000 2018,0.876,0.124,0.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BBCOne: 🚨 Consider this your 30-minute warning! 🚨
#Bodyguard. Starts tonight at 9pm, @BBCOne. https://t.co/m8JzlprYRG",21
BBC,-0.7269,Sun Aug 26 19:13:06 +0000 2018,0.469,0.408,0.122,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A troubled war veteran is assigned to protect a controversial politician...

#Bodyguard | 9pm | @BBCOne |… https://t.co/SopVXMpTWg",22
BBC,0.0,Sun Aug 26 18:05:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","🕵️😂 Did you know Sherlock is Indian? 
#GoodnessGraciousMe https://t.co/quFCCTvECl",23
BBC,0.5719,Sun Aug 26 16:46:09 +0000 2018,0.619,0.0,0.381,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","The perfect picnic doesn't exi- 
#NationalDogDay https://t.co/hCE7MqzF2P",24
BBC,0.0,Sun Aug 26 16:32:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","This sketch was discovered in Germany, but could it be by British artist Henry Moore? Fiona Bruce and @PhilipMould… https://t.co/gGf2OFwsVI",25
BBC,0.296,Sun Aug 26 15:05:02 +0000 2018,0.826,0.061,0.113,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😴 It’s hard to overstate the benefits of a night’s rest for human memory, and neuroscientists are just beginning to… https://t.co/GK81wfxhJ3",26
BBC,0.0,Sun Aug 26 14:07:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The boat that ROCKED 🤘https://t.co/4avyIFuoot,27
BBC,-0.6808,Sun Aug 26 12:06:05 +0000 2018,0.739,0.261,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","📖 The murderer turned author who published clues to his crimes.
👉https://t.co/ITArfoXazg https://t.co/BSXLone9P7",28
BBC,0.4404,Sun Aug 26 11:01:06 +0000 2018,0.879,0.0,0.121,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🎓 Aidan has cerebral palsy so he used eye gaze technology to complete his degree in creative writing...and got a fi… https://t.co/KMxNJIYrPv,29
BBC,0.0,Sun Aug 26 10:09:08 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",💉 Scientists believe they have found a reliable way to transform donor blood into the universal type needed for saf… https://t.co/rU3YmogzMa,30
BBC,0.5859,Sun Aug 26 09:26:05 +0000 2018,0.814,0.0,0.186,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",😍 Photographs of golden retriever puppies playing with lion and tiger cubs at a wildlife park in Beijing are meltin… https://t.co/1Qfwlhs37j,31
BBC,0.4404,Sun Aug 26 09:08:05 +0000 2018,0.861,0.0,0.139,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🥓🍳 @Libertines frontman @PeteDoherty will have his name inscribed on a wall of fame in a Margate cafe after scoffin… https://t.co/I9URg2sXjn,32
BBC,-0.5994,Sun Aug 26 08:00:14 +0000 2018,0.843,0.157,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This father and son thought they were going to die at sea. 
Then 13 year old Joe did something incredible. 
(via… https://t.co/ygLkik2sjB",33
BBC,0.0,Sun Aug 26 07:42:20 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCWorld: US Senator John McCain dies aged 81 https://t.co/Sge1AtsTtk,34
BBC,0.0,Sun Aug 26 07:12:02 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🦎🎨 How do chameleons change colour?  https://t.co/4fbUTZLbO7,35
BBC,0.7003,Sat Aug 25 21:01:07 +0000 2018,0.756,0.0,0.244,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Three friends decide to turn their fantasy vacation into reality after one of their group gets engaged. 🎬🍿

Zindagi… https://t.co/73RISRIQPx",36
BBC,0.4199,Sat Aug 25 18:07:04 +0000 2018,0.715,0.0,0.285,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",❤️🦔 All animals need someone like Joan! https://t.co/45ldsfXqNC,37
BBC,0.4019,Sat Aug 25 17:18:16 +0000 2018,0.863,0.0,0.137,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @bbcstories: From slave plantations to #nottinghillcarnival2018 - How steel pans brought harmony to Europe’s biggest Caribbean event. ht…,38
BBC,0.6369,Sat Aug 25 17:18:08 +0000 2018,0.682,0.0,0.318,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @BBCOne: Love. Sex. It's complicated. This is #Wanderlust. https://t.co/rnZLvWi0JT,39
BBC,0.0,Sat Aug 25 17:00:19 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Is identity different online? 

@BBCThree spoke to four of the most followed young Asian influencers in the country… https://t.co/D15TpRXt2X",40
BBC,0.4019,Sat Aug 25 16:00:15 +0000 2018,0.816,0.0,0.184,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",💃🕺 Meet the dancer bringing 'rent parties' from Harlem to the UK. https://t.co/hXpLZXNXnc,41
BBC,0.8271,Sat Aug 25 15:02:06 +0000 2018,0.607,0.0,0.393,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🐦📸 Vibrant pink flamingos triumphed over diving gannets and hungry robins, taking top spot in 2018's Bird Photograp… https://t.co/fbkCntCFjY",42
BBC,-0.0772,Sat Aug 25 14:42:30 +0000 2018,0.743,0.115,0.141,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","""I want you guys to sing it so loud Chester can hear you, are you ready to do that?""

💔 @MikeShinoda's… https://t.co/rHda95PHNg",43
BBC,0.7184,Sat Aug 25 14:00:15 +0000 2018,0.571,0.0,0.429,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🍻 + 🧘‍♀️🧘‍♂️ = 😊 https://t.co/n3nkO3TkhD,44
BBC,0.3612,Sat Aug 25 13:00:20 +0000 2018,0.839,0.0,0.161,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😋🍫@BegumNadiya's tear'n'share mocha swirls are guaranteed to put a smile on your face. 
#NadiyasFamilyFavourites https://t.co/xmbPUB13wF",45
BBC,-0.1027,Sat Aug 25 12:00:17 +0000 2018,0.779,0.123,0.097,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🎨 The women impressionists forgotten by history.
👉 https://t.co/tCmgdobORS https://t.co/5tJAw51rHf",46
BBC,0.0,Sat Aug 25 11:07:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","❄️🌝 Scientists say they have definitive evidence for water-ice on the surface of the Moon.
👉 https://t.co/3vkqKzkmRT https://t.co/sdTP7tdpK5",47
BBC,0.0,Sat Aug 25 09:45:20 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCR1: What's you're all-time favourite Reading &amp; Leeds performance? @paramore? @BiffyClyro? @Nirvana? @ArcticMonkeys? @disclosure? @fo…,48
BBC,0.0,Sat Aug 25 09:00:19 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Of all your education, a very few specific skills will determine the rationality of your decision making. 

Take… https://t.co/kosxQqPPRi",49
