News,Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
@BBC,0.0,Fri Aug 24 20:03:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The story of how British Asians came of age as they found their voice and identity. 🎶

Pump Up the Bhangra: The Sou… https://t.co/UooVjCCTRM",1
@BBC,0.0,Fri Aug 24 18:02:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂🗞 It's India's favourite newspaper... The Delhi Mail!  
#GoodnessGraciousMe https://t.co/z8FpkFoFE9",2
@BBC,0.6124,Fri Aug 24 15:59:00 +0000 2018,0.773,0.0,0.227,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Me leaving work in a calm and orderly fashion ahead of the  🎉THREE 🎉DAY 🎉WEEKEND 🎉

#FridayFeeling #BankHoliday https://t.co/x9zFn90J3W",3
@BBC,0.784,Fri Aug 24 14:58:04 +0000 2018,0.744,0.0,0.256,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCTwo: Happy Birthday @StephenFry! Here’s one of our favourite clips ever featuring your good self and a rather randy parrot… 😂😳 https…,4
@BBC,0.0,Fri Aug 24 14:22:04 +0000 2018,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCOne: Find your dancing shoes 👞 👠

#Strictly returns to BBC One soon. @bbcstrictly. https://t.co/yqOYHGXMqP",5
@BBC,0.0,Fri Aug 24 13:07:53 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🌡 The next few years could be 'anomalously warm', according to a new study.
👉 https://t.co/jKfnBaFiCA https://t.co/GHZglCJXGS",6
@BBC,0.4767,Fri Aug 24 12:01:06 +0000 2018,0.723,0.076,0.201,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂 When you catch your wife reading the Victorian version of 50 Shades Of Grey. 
#Quacks https://t.co/WsShUpzOJm",7
@BBC,0.0,Fri Aug 24 11:00:12 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🧀 A substance found by archaeologists working in an Ancient Egyptian tomb has proved to be one of the oldest cheese… https://t.co/1e3wwLTYzw,8
@BBC,0.0,Fri Aug 24 08:43:01 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",@BBCTravelShow is on @BBCiPlayer now! https://t.co/vORksfNnB7 🍉🐻,9
@BBC,-0.4939,Fri Aug 24 08:00:15 +0000 2018,0.862,0.138,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",More than half of Borneo's orangutans have perished since 1999; their habitats destroyed to make way for palm oil p… https://t.co/K4hcJybtsU,10
@BBC,0.0,Fri Aug 24 07:27:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","15-20% of US contact lens users dispose of them in bathroom drains, increasing plastic pollution in the environment… https://t.co/xTvugVsIBd",11
@BBC,0.0,Fri Aug 24 07:00:10 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",😮🙌🗼 Not what you'd normally find in a back garden... https://t.co/Qo13wjnFO9,12
@BBC,0.0,Thu Aug 23 19:00:22 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🍓🤖 Meet the strawberry picking robot. https://t.co/oVL1eYXeBt,13
@BBC,0.5859,Thu Aug 23 18:02:06 +0000 2018,0.833,0.0,0.167,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Twenty familiar faces from the worlds of show business, music and sport compete to win the 2018 title... Celebrity… https://t.co/b8ah90rqci",14
@BBC,0.0,Thu Aug 23 17:31:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Would you travel to Japan to meet Melonbear? https://t.co/aiiuz98vMp,15
@BBC,0.7345,Thu Aug 23 16:01:05 +0000 2018,0.819,0.0,0.181,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCOne: Be a nice person ✅
Never give up ✅
Answer back ✅

And other valuable life advice from @LennyHenry! https://t.co/pYyyfqeKOq",16
@BBC,0.0,Thu Aug 23 16:00:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Do you give a fork? 🍴
#PlasticsAction https://t.co/Zs6OXgNdM6",17
@BBC,-0.5106,Thu Aug 23 15:55:24 +0000 2018,0.87,0.13,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCNews: GCSE results day is stressful for a lot of people 😖

Here are some tips on how to cope https://t.co/zjny0yFCjX https://t.co/io…",18
@BBC,0.0,Thu Aug 23 15:49:59 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcpress: 🎬 @BBCThree's #Fleabag series two cast announced as filming commences, with Andrew Scott joining the show: https://t.co/nH6LF…",19
@BBC,0.0,Thu Aug 23 14:27:01 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","South Korean boy band @BTS_twt will appear in the 2019 edition of the Guinness Book of World Records - twice! 
👉… https://t.co/DkTcQLeqJD",20
@BBC,0.0,Fri Aug 24 20:03:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The story of how British Asians came of age as they found their voice and identity. 🎶

Pump Up the Bhangra: The Sou… https://t.co/UooVjCCTRM",21
@BBC,0.0,Fri Aug 24 18:02:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂🗞 It's India's favourite newspaper... The Delhi Mail!  
#GoodnessGraciousMe https://t.co/z8FpkFoFE9",22
@BBC,0.6124,Fri Aug 24 15:59:00 +0000 2018,0.773,0.0,0.227,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Me leaving work in a calm and orderly fashion ahead of the  🎉THREE 🎉DAY 🎉WEEKEND 🎉

#FridayFeeling #BankHoliday https://t.co/x9zFn90J3W",23
@BBC,0.784,Fri Aug 24 14:58:04 +0000 2018,0.744,0.0,0.256,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCTwo: Happy Birthday @StephenFry! Here’s one of our favourite clips ever featuring your good self and a rather randy parrot… 😂😳 https…,24
@BBC,0.0,Fri Aug 24 14:22:04 +0000 2018,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCOne: Find your dancing shoes 👞 👠

#Strictly returns to BBC One soon. @bbcstrictly. https://t.co/yqOYHGXMqP",25
@BBC,0.0,Fri Aug 24 13:07:53 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🌡 The next few years could be 'anomalously warm', according to a new study.
👉 https://t.co/jKfnBaFiCA https://t.co/GHZglCJXGS",26
